Timestamp,Gender,Age range,Educational Qualification ,Occupation,Marital status,Your individual aggregate monthly income,how often do you buy readyto ,Which type of brand do you purchase from?,Source of information on recent ready-to-wear or clothing apparels?,When last did you buy a ready-to-wear clothing?,"If ready-to-wear were a person, which of the following adjectives do you feel would best describe your most preferred brand personality?",What kind of outfits do you usually prefer?,What influences you the most when you buy clothes?,MONTHLY BUDGET,CATEGORY OF BUDGET
2021/08/26 8:12:03 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Civil servant,Married,"400,000",Monthly,Both (Domestic and International),Social media,Less than 1 month ago,Classy;Elegant,Bespoke,Wearability,"50,000", HIGH PRICE
2021/08/26 8:13:28 pm CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"100,000",I donƒ??t know,Both (Domestic and International),Friends and family;Social media;Work or school colleagues;Newspaper/advertisement posters;SMS/Email promotions,I donƒ??t remember,Rugged,Casual (International),Fashion/style;Prices;Wearability,"20,000",LOW PRICE
2021/08/26 8:15:55 pm CET,Male,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"300,000",Spontaneous,Both (Domestic and International),Newspaper/advertisement posters,I donƒ??t remember,Imaginative,Casual (local brands),Prices,"20,000",LOW PRICE
2021/08/26 8:17:05 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Between 1 and 6 months,Elegant,Bespoke,Occasion,"50,000", HIGH PRICE
2021/08/26 8:17:30 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Lawyer ,Single,"100,000",On special occasions,Domestic,Friends and family;Social media;Work or school colleagues,Between 6 months and 1 year,Honest;Cheerful;Imaginative;Upper class;Classy;Elegant;Sophisticated,Bespoke,Fashion/style,"20,000",LOW PRICE
2021/08/26 8:19:37 pm CET,Female,31 - 35 years,Masters,Self-employed/Entrepreneur,Married,"300,000",Rarely,Both (Domestic and International),Social media,More than 1 year ago,Cheerful,Casual (local brands),Wearability,"50,000", HIGH PRICE
2021/08/26 8:21:46 pm CET,Male,31 - 35 years,Masters,Self-employed/Entrepreneur,Married,"500,000",Rarely,Both (Domestic and International),Social media;SMS/Email promotions,More than 1 year ago,Honest;Rugged,Casual (local brands),Prices;Occasion;Friends,"50,000", HIGH PRICE
2021/08/26 8:28:02 pm CET,Female,31 - 35 years,Masters,Civil servant,Married,"500,000",On special occasions,Both (Domestic and International),Social media,Between 6 months and 1 year,Classy,Casual (local brands),Prices;Occasion,"50,000", HIGH PRICE
2021/08/26 8:28:10 pm CET,Male,26 - 30 years;31 - 35 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Single,"200,000",Rarely,Both (Domestic and International),Social media,Between 1 and 6 months;I donƒ??t remember,Elegant,Casual (local brands),Fashion/style,"20,000",LOW PRICE
2021/08/26 8:28:20 pm CET,Male,36 - 40 years,Masters,Self-employed/Entrepreneur,Married,"500,000",On special occasions,Domestic,Friends and family,Between 1 and 6 months,Honest,Casual (local brands),Prices,"100,000", HIGH PRICE
2021/08/26 8:30:01 pm CET,Female,26 - 30 years,Masters,Employed (private or non-profit sector),Married,"100,000",Once in 6 months,Both (Domestic and International),Social media,Less than 1 month ago,Classy;Elegant;Sophisticated,Bespoke,Fashion/style;Wearability,"100,000", HIGH PRICE
2021/08/26 8:31:11 pm CET,Female,26 - 30 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Self-employed/Entrepreneur,Married,"100,000",Rarely,Domestic,Friends and family;Social media,I donƒ??t remember,Simple and classy,Casual (local brands),Fashion/style;Prices;Wearability,"20,000",LOW PRICE
2021/08/26 8:51:02 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Married,"500,000",Rarely,Domestic,Friends and family,Between 6 months and 1 year,Elegant,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 8:56:34 pm CET,Female,19,"Primary;Secondary;Tertiary (NCE, HND, Bachelorƒ??s)",Student,Single,"100,000",Spontaneous,Both (Domestic and International),Friends and family;Social media;Work or school colleagues,Less than 1 month ago,Classy;Elegant,Casual (International),Fashion/style;Occasion,"20,000",LOW PRICE
2021/08/26 8:57:30 pm CET,Female,36 - 40 years,Masters,Civil servant,Married,"100,000",Once in 3 months,Domestic,Social media,Between 1 and 6 months,Cheerful;Classy;Elegant;Sophisticated,Casual (local brands),Wearability,"20,000",LOW PRICE
2021/08/26 8:59:12 pm CET,Male,31 - 35 years,Masters,Employed (private or non-profit sector),Married,"300,000",Rarely,Both (Domestic and International),Social media,More than 1 year ago,Classy,Casual (International),Fashion/style;Prices;Wearability;Occasion,"50,000", HIGH PRICE
2021/08/26 8:59:43 pm CET,Female,20 - 25 years,"Tertiary (NCE, HND, Bachelorƒ??s)",Unemployed,Single,"100,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Classy,Bespoke,Prices,"20,000",LOW PRICE
2021/08/26 9:00:05 pm CET,Female,26 - 30 years,Masters,Civil servant,Prefer not to say,"300,000",Spontaneous,Both (Domestic and International),Social media,Less than 1 month ago,Colorful;Upper class;Classy;Elegant;Sophisticated,Casual (International),Wearability,"100,000", HIGH PRICE
